Date,Time,Home,Away,Home LINE,Away LINE,Home Win,Away Win,Pick,Pick value,BH Away,BH Home,Away%,Home%,Away Team,Away Edge,Home Team,Home Edge,Risk,Result,Result Unit,Away Team,Home Team,MP Away,,,,MP Home,MP Away,MP Home,MP Away Edge,MP Home edge,Team,Risk,Result,
10/11/2018,7:05 PM,New Jersey Devils,Washington Capitals,-114,103,56.61%,43.39%,New Jersey Devils -114,4.41%,103,-114,49.26%,53.27%,Washington Capitals,-5.87%,New Jersey Devils,3.34%,83,W,3.34,,,,,,,,,,,,,,,
10/11/2018,7:05 PM,New York Rangers,San Jose Sharks,138,-153,39.70%,60.30%,San Jose Sharks -153,1.50%,-153,138,60.47%,42.02%,San Jose Sharks,-0.17%,New York Rangers,-2.32%,,,,,,,,,,,,,,,,,,
10/11/2018,7:05 PM,Boston Bruins,Edmonton Oilers,-165,149,62.02%,37.98%,Boston Bruins -165,0.52%,149,-165,40.16%,62.26%,Edmonton Oilers,-2.18%,Boston Bruins,-0.24%,,,,,,,,,,,,,,,,,,
10/11/2018,7:35 PM,Detroit Red Wings,Toronto Maple Leafs,157,-174,35.42%,64.58%,Toronto Maple Leafs -174,0.78%,-174,157,63.50%,38.91%,Toronto Maple Leafs,1.08%,Detroit Red Wings,-3.49%,,,,,,,,,,,,,,,,,,
10/11/2018,7:50 PM,Montreal Canadiens,Los Angeles Kings,-110,-100,49.28%,50.72%,Los Angeles Kings -100,1.72%,-100,-110,50.00%,52.38%,Los Angeles Kings,0.72%,Montreal Canadiens,-3.10%,,,,,,,,,,,,,,,,,,
10/11/2018,8:05 PM,St. Louis Blues,Calgary Flames,-123,111,59.57%,40.43%,St. Louis Blues -123,3.97%,111,-123,47.39%,55.16%,Calgary Flames,-6.96%,St. Louis Blues,4.41%,110,W,4.41,,,,,,,,,,,,,,,
10/11/2018,8:05 PM,Minnesota Wild,Chicago Blackhawks,-165,149,62.89%,37.11%,Minnesota Wild -165,1.79%,149,-165,40.16%,62.26%,Chicago Blackhawks,-3.05%,Minnesota Wild,0.63%,,,,,,,,,,,,,,,,,,
10/13/2018,1:05 PM,Philadelphia Flyers,Vegas Golden Knights,-113,102,48.99%,51.01%,Vegas Golden Knights 102,1.51%,102,-113,49.50%,53.05%,Vegas Golden Knights,1.51%,Philadelphia Flyers,-4.06%,,,,,,,,,,,,,,,,,,
10/13/2018,1:05 PM,New York Rangers,Edmonton Oilers,-101,-109,40.08%,59.92%,Edmonton Oilers -109,4.72%,-109,-101,52.15%,50.25%,Edmonton Oilers,7.77%,New York Rangers,-10.17%,194,W,7.77,,,,,,,,,,,,,,,
10/13/2018,2:05 PM,Ottawa Senators,Los Angeles Kings,130,-144,40.48%,59.52%,Los Angeles Kings -144,0.52%,-144,130,59.02%,43.48%,Los Angeles Kings,0.50%,Ottawa Senators,-3.00%,,,,,,,,,,,,,,,,,,
10/13/2018,6:05 PM,Minnesota Wild,Carolina Hurricanes,-133,120,62.47%,37.53%,Minnesota Wild -133,1.67%,120,-133,45.45%,57.08%,Carolina Hurricanes,-7.92%,Minnesota Wild,5.39%,135,L,-7.17,,,,,,,,,,,,,,,
10/13/2018,7:05 PM,Washington Capitals,Toronto Maple Leafs,-110,-100,46.60%,53.40%,Toronto Maple Leafs -100,4.60%,-100,-110,50.00%,52.38%,Toronto Maple Leafs,3.40%,Washington Capitals,-5.78%,85,W,3.4,,,,,,,,,,,,,,,
10/13/2018,7:05 PM,Tampa Bay Lightning,Columbus Blue Jackets,-163,147,64.53%,35.47%,Tampa Bay Lightning -163,2.13%,147,-163,40.49%,61.98%,Columbus Blue Jackets,-5.02%,Tampa Bay Lightning,2.55%,,W,,,,,,,,,,,,,,,,
10/13/2018,7:05 PM,Montreal Canadiens,Pittsburgh Penguins,146,-162,39.83%,60.17%,Pittsburgh Penguins -162,0.97%,-162,146,61.83%,40.65%,Pittsburgh Penguins,-1.66%,Montreal Canadiens,-0.82%,,,,,,,,,,,,,,,,,,
10/13/2018,7:15 PM,Florida Panthers,Vancouver Canucks,-200,180,67.28%,32.72%,Florida Panthers -200,1.18%,180,-200,35.71%,66.67%,Vancouver Canucks,-2.99%,Florida Panthers,0.61%,,,,,,,,,,,,,,,,,,
10/13/2018,8:05 PM,Dallas Stars,Anaheim Ducks,-164,148,55.77%,44.23%,Anaheim Ducks 148,3.23%,148,-164,40.32%,62.12%,Anaheim Ducks,3.91%,Dallas Stars,-6.35%,98,L,-3.91,,,,,,,,,,,,,,,
10/13/2018,8:05 PM,Nashville Predators,New York Islanders,-235,210,69.67%,30.33%,Nashville Predators -235,0.97%,210,-235,32.26%,70.15%,New York Islanders,-1.93%,Nashville Predators,-0.48%,,,,,,,,,,,,,,,,,,
10/13/2018,8:50 PM,Chicago Blackhawks,St. Louis Blues,104,-115,44.16%,55.84%,St. Louis Blues -115,2.74%,-115,104,53.49%,49.02%,St. Louis Blues,2.35%,Chicago Blackhawks,-4.86%,,L,,,,,,,,,,,,,,,,
